fragment_id,feasible_compounds,infeasible_compounds
186649146,5,0
1157630523,0,3
2695891516,1,0
2217216576,1,3
3992980033,2,0
1502612034,0,2
885000780,2,7
1059588687,0,15
2147486287,0,1
2407533138,0,1
3372747348,0,1
1897925205,1,0
752880215,9,2
1961888344,3,1
3038775902,1,1
4049603166,1,0
2064648800,1,2
3882879585,1,0
3238005349,0,2
979372646,2,27
1810369129,0,1
3986688618,119,315
1561332332,0,1
2888829558,2,1
2311064183,3,0
200280696,3,17
632294008,6,25
1069025914,1,0
1201670778,0,1
581438071,0,1
3253734014,1,5
1053821569,2,12
2085620360,0,3
1108871821,0,1
1887963790,0,1
3928492687,67,68
491260561,2,0
1983384212,7,5
1698171542,8,11
3807382168,1,1
1198000794,2,1
1889536667,17,9
1784679068,1,0
3422030491,0,1
1537215135,0,1
3108506274,0,1
21498540,7,0
2673347246,0,1
3793226415,23,15
2135427760,5,4
300419759,2,0
547883704,0,1
2816477882,2,1
784861885,1,2
3485993669,0,1
2619869895,1,0
1943538376,1,0
1797262023,2,0
3016231627,0,6
1326451404,0,1
3866102478,1,0
2587364051,1,0
1749027539,24,31
1712327386,1,0
3688368862,1,0
3253209823,1,0
489163489,0,1
1329072868,8,25
770706149,0,1
3094874857,2,0
3025144557,3,24
1629489903,0,1
1317538545,1,1
127929073,0,1
2502953715,2,4
608701171,0,1
924846837,0,4
4204792566,3,0
3405253367,1,0
3806333688,0,3
1870138105,1,0
3192392441,0,1
1645742844,2,1
3972008701,1,0
2822769408,3,0
2678065920,0,1
845155075,13,18
2916092677,0,2
1340607239,0,1
3977251592,20,32
1801456392,0,8
44567309,9,1
3903851280,0,1
3588229906,2,2
3730836244,14,6
4205316892,3,1
786959138,1,4
4241492774,12,19
2519206697,0,1
3649571628,3,3
3109030701,0,1
3651144498,1,0
3775400758,1,0
3119516470,0,1
4235725624,0,4
534252345,7,9
742394684,124,366
4038593346,1,1
2273315650,0,1
3817343813,1,0
3217034053,0,1
1459096391,16,2
2233469767,1,0
3757050697,2,0
616565575,0,1
1813515083,1,0
2570062668,1,0
3878685515,0,2
1842875217,7,55
2591558482,34,64
1316490069,1,1
108006231,2,5
2462583644,1,1
1514146662,2,4
2690124649,2,0
175115114,1,0
3019901803,9,8
3452963696,4,0
3343387506,5,1
956828532,19,4
3284667253,2,0
1194855286,0,2
3279948679,0,1
762317705,0,1
4131392394,2,0
799542155,6,15
1693453197,0,2
2099252110,1,0
457182095,0,1
3831499664,2,0
220203919,0,1
2228751250,1,0
2851081109,0,1
1668287384,9,1
3763342233,0,1
1759513509,1,0
29363110,1,4
2491419559,0,1
915409830,0,1
3294628778,2,1
3603434413,1,0
1377831853,1,0
3517451183,1,0
1010305971,83,85
1370491830,1,0
617614262,0,3
2976910270,1,1
3775925185,0,1
1824525251,0,1
2631404484,3,8
3429895116,0,1
3872394190,3,10
2216168398,0,1
489688014,0,1
2494041042,0,1
253234136,51,122
2314734555,0,1
4002417628,1,2
1357908956,1,0
4083157984,2,2
1560808417,0,1
2872052713,1,0
2368211947,2,9
2570062827,0,3
445647852,0,1
1876954098,0,1
2380270583,1,26
3817343991,0,5
2151156729,0,1
1019218939,1,1
3246918651,0,1
2047347714,0,1
3411020804,1,7
3263171590,0,1
1730153479,6,10
2873101319,0,1
4174384148,0,1
1741687831,5,7
974654488,0,2
3779071003,0,1
4201647134,0,2
1906838559,1,4
96996389,1,0
3789556775,0,1
3155168296,0,1
2857372722,0,1
3928493110,1,3
2037386295,0,1
2345667643,1,0
3378515005,2,0
825756733,0,1
384306239,0,2
3128953920,1,0
3632794692,0,1
3124235336,0,2
3138391119,1,0
3301444689,1,0
2001210451,30,25
2693270614,0,2
1280314454,0,1
3104836694,0,1
1078987866,6,82
31984730,3,3
1669860444,1,0
1685589085,0,3
1898974305,0,1
1457523811,31,66
2923433061,2,0
1519389799,0,2
314575977,0,2
752880746,1,26
453512299,0,1
4118809713,1,0
3277851766,11,29
4288679030,1,0
2500332664,1,0
2691697785,1,0
4179102841,0,1
2851081339,0,1
2520779902,0,1
2583170178,0,1
4030205064,4,10
2384989324,1,4
1267207313,0,2
1134038164,0,1
3380612245,3,4
1421347992,7,26
2243955865,1,0
948964506,1,0
1271401627,1,0
3515354267,0,5
3007843485,279,242
3228568733,0,4
1007160479,10,0
2041580702,0,1
2793933990,1,0
1732250790,1,2
2664434855,0,1
1400900777,0,1
1149242539,0,1
479202476,4,13
964693169,1,1
1786252466,0,1
1826622646,7,18
446172346,5,0
2011696317,0,1
1355287744,1,0
2701659330,7,2
1342704835,1,4
1765805250,0,1
1073220809,0,1
519048396,0,5
3575123150,1,0
843058382,1,0
1818758352,2,0
2372930768,2,0
3718253781,17,8
1301810390,14,10
2771389655,0,3
954207449,0,6
2458914010,0,1
1471155421,0,2
2429029600,0,1
2300579044,0,1
4151839974,2,0
3436186857,101,63
1876954345,1,1
36703467,2,0
4287630572,1,0
2153254125,1,0
239078638,2,6
2952269036,0,2
3259501810,4,3
1576178,6,4
932711668,197,736
1034947826,1,0
241175799,0,1
2102398202,1,0
1259343102,0,1
1497894144,4,6
3589803264,0,6
2635599105,0,1
180882691,5,2
792202504,0,5
1847594251,0,1
4186967308,2,3
2452622604,0,1
195562766,3,1
1626344719,7,2
2632453396,39,17
4067953942,14,11
1281887510,1,0
2595228952,0,1
1050676505,0,1
3661630747,1,0
2451049756,0,5
